Date,Open,High,Low,Close,Volume
2020-10-04 19:00:00,353.58,355.39,346.11,352.71,1062.24156192
2020-10-05 19:00:00,354.26,354.58,337.47,340.08,8310.63496429
2020-10-06 19:00:00,340.06,342.99,333.14,341.53,1255.61664765
2020-10-07 19:00:00,340.63,352.51,334.65,349.81,2079.39835658
2020-10-08 19:00:00,350.72,368.0,348.11,365.94,2137.42546205
2020-10-09 19:00:00,364.53,377.24,364.53,371.18,1467.91736565
2020-10-10 19:00:00,370.89,377.0,369.66,374.08,561.38156819
2020-10-11 19:00:00,373.0,394.53,365.81,386.7,1566.37323939
2020-10-12 19:00:00,387.04,387.33,374.51,380.83,2101.90664408
2020-10-13 19:00:00,381.54,388.0,373.27,379.0,1139.43038934
2020-10-14 19:00:00,377.05,380.72,370.44,376.93,2319.05045324
2020-10-15 19:00:00,376.53,392.27,358.89,366.0,3014.25079696
2020-10-16 19:00:00,365.46,369.26,365.46,368.22,476.87628021
2020-10-17 19:00:00,369.5,386.21,368.37,378.15,762.18117957
2020-10-18 19:00:00,378.51,384.51,373.44,379.33,755.80815543
2020-10-19 19:00:00,379.18,380.02,365.01,369.02,962.77108362
2020-10-20 19:00:00,370.19,410.63,370.19,390.79,4612.86233693
2020-10-21 19:00:00,390.79,420.29,390.79,413.87,3418.07062491
2020-10-22 19:00:00,411.99,418.79,399.03,408.88,1857.05826651
2020-10-23 19:00:00,409.72,415.77,400.0,410.74,855.41434546
2020-10-24 19:00:00,412.3,417.0,403.78,406.76,526.53104216
2020-10-25 19:00:00,405.23,410.6,383.0,393.4,1729.97774581
2020-10-26 19:00:00,395.07,409.66,390.69,403.84,983.10259719
2020-10-27 19:00:00,405.69,408.29,381.0,388.97,3175.89856069
2020-10-28 19:00:00,388.38,393.1,380.91,386.2,1542.26127863
2020-10-29 19:00:00,384.87,391.53,373.77,382.64,484.17796098
2020-10-30 19:00:00,382.62,393.73,380.91,385.82,698.50610373
2020-10-31 19:00:00,389.72,397.0,385.26,396.76,609.24995991
2020-11-01 18:00:00,396.87,403.01,379.15,383.21,1795.13313238
2020-11-02 18:00:00,383.06,388.86,370.42,387.74,887.11771474
2020-11-03 18:00:00,387.97,409.0,377.21,401.69,1938.77272547
2020-11-04 18:00:00,402.84,437.25,396.95,416.5,4605.9611556
2020-11-05 18:00:00,416.94,457.9,415.53,455.82,5716.12173727
2020-11-06 18:00:00,455.88,468.18,421.68,435.96,2798.39066526
2020-11-07 18:00:00,434.29,459.54,433.63,454.29,2015.45355155
2020-11-08 18:00:00,455.27,458.58,433.81,444.05,2040.17801825
2020-11-09 18:00:00,444.72,454.47,439.42,449.78,1450.29302368
2020-11-10 18:00:00,451.29,476.0,450.97,464.35,1910.75470995
2020-11-11 18:00:00,462.09,469.67,452.05,462.5,2649.54793514
2020-11-12 18:00:00,462.69,477.27,457.31,476.45,1045.85077948
2020-11-13 18:00:00,476.7,476.75,453.0,460.47,1701.14002896
2020-11-14 18:00:00,460.2,462.6,440.05,448.46,1710.33968093
2020-11-15 18:00:00,446.97,466.1,446.94,461.88,1528.00428809
2020-11-16 18:00:00,460.03,538.2,460.03,482.34,3354.16799704
2020-11-17 18:00:00,482.72,493.83,456.85,479.47,3233.00367818
2020-11-18 18:00:00,479.1,479.9,465.5,468.68,877.71043424
2020-11-19 18:00:00,472.45,514.01,471.03,508.91,3145.32956065
2020-11-20 18:00:00,510.0,550.95,495.0,550.22,4252.15605927
2020-11-21 18:00:00,552.73,581.95,511.71,560.36,3957.46125922
2020-11-22 18:00:00,560.61,610.0,551.44,608.62,4060.26658886
2020-11-23 18:00:00,608.96,624.75,589.27,604.93,4757.85605386
